Crop,Pesticide,Valid_From,MRL_values,count
Fat,Tebufenozide,2021-11-03,"[np.float64(0.05), np.float64(0.02)]",7
Fat,Tefluthrin (tefluthrin including other mixtures of constituent isomers),2025-07-23,"[np.float64(0.02), np.float64(0.01), np.float64(0.05)]",7
Fat,Tetraconazole,2023-09-26,"[np.float64(0.09), np.float64(0.2), np.float64(0.07), np.float64(0.3)]",7
Fat,Thiabendazole,2024-12-11,"[np.float64(0.01), np.float64(0.1)]",7
Fat,Triclopyr,2023-04-13,"[np.float64(0.06), np.float64(0.01)]",7
Fat,Trifloxystrobin  (R),2019-11-18,"[np.float64(0.06), np.float64(0.04)]",14
Fat,Trifloxystrobin (R),2024-12-11,"[np.float64(0.04), np.float64(0.06)]",14
Fat,Triflumuron,2024-06-11,"[np.float64(0.1), np.float64(0.01)]",7
Fennel,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Fennel,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Fenugreek,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Fenugreek,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Figs,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(20.0)]",2
Flower pistil spices,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Flower pistil spices,Dichlorvos,2008-09-01,"[np.float64(0.1), np.float64(0.02)]",4
Fruit spices,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Fruit spices,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Gherkins,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),2008-09-01,"[np.float64(0.01), np.float64(0.02)]",4
Ginseng,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(70.0)]",2
Gold of pleasure seeds,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Granate apples/pomegranates,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(50.0)]",2
Grapefruits,Bromide ion,2008-09-01,"[np.float64(30.0), np.float64(5.0)]",2
Guavas,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(20.0)]",2
HOPS,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(20.0)]",2
Hemp seeds,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(20.0)]",2
Hibiscus/roselle,Bromide ion,2008-09-01,"[np.float64(100.0), np.float64(50.0)]",2
Jambuls/jambolans,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(20.0)]",2
Juniper berry,Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(400.0)]",2
Juniper berry,Dichlorvos,2008-09-01,"[np.float64(0.1), np.float64(0.02)]",4
Kaki/Japanese persimmons,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(20.0)]",2
Kapok,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(5.0)]",2
Kidney,"1,4-dimethylnaphthalene (R)",2025-04-30,"[np.float64(1.5), np.float64(3.0), np.float64(2.0)]",14
Kidney,"2,4-D",2023-02-25,"[np.float64(0.05), np.float64(5.0)]",7
Kidney,Abamectin (R),2023-08-20,"[np.float64(0.01), np.float64(0.02)]",14
Kidney,Acetamiprid,2025-08-20,"[np.float64(1.0), np.float64(0.1)]",7
Kidney,Amidosulfuron  (R),2025-07-23,"[np.float64(0.2), np.float64(0.02), np.float64(0.05)]",14
Kidney,Aminopyralid,2022-05-10,"[np.float64(1.0), np.float64(0.01)]",7
Kidney,"Amitraz (amitraz including the metabolites containing the 2,4 -dimethylaniline moiety expressed as amitraz)",2017-04-26,"[np.float64(0.2), np.float64(0.05)]",7
Kidney,Azoxystrobin,2025-07-23,"[np.float64(0.07), np.float64(0.01)]",7
Kidney,"Bentazone and 8-hydroxy bentazone (free and conjugated), expressed as bentazone)",2021-11-02,"[np.float64(0.02), np.float64(0.15)]",7
Kidney,Benzovindiflupyr,2024-06-11,"[np.float64(0.01), np.float64(0.1)]",7
Kidney,"Bicyclopyrone-6-(trifluoromethyl) pyridine-3-carboxylic acid (SYN503780) and (2-(2-hydroxyethoxymethyl)-6- (trifluoromethyl)pyridine-3-carboxylic acid (CSCD686480), expressed as bicyclopyrone)",2019-04-25,"[np.float64(0.02), np.float64(0.01)]",7
Kidney,Bifenthrin,2018-06-05,"[np.float64(0.2), np.float64(0.01)]",7
Kidney,Bixafen (R),2023-06-22,"[np.float64(0.02), np.float64(4.0)]",14
Kidney,Boscalid  (R),2022-08-18,"[np.float64(0.2), np.float64(0.05)]",14
Kidney,Captan,2019-07-11,"[np.float64(0.09), np.float64(0.03)]",7
Kidney,Chlorantraniliprole,2024-06-11,"[np.float64(0.01), np.float64(0.2)]",7
Kidney,Chlormequat,2022-08-14,"[np.float64(1.5), np.float64(2.0), np.float64(0.15)]",7
Kidney,Chlorotoluron,2014-08-25,"[np.float64(0.01), np.float64(0.05)]",7
Kidney,Clethodim,2008-09-01,"[np.float64(0.2), np.float64(0.05)]",14
Kidney,Clopyralid,2024-10-28,"[np.float64(0.05), np.float64(0.6), np.float64(2.0), np.float64(1.5)]",7
Kidney,Cyantraniliprole,2025-07-06,"[np.float64(0.15), np.float64(1.5)]",7
Kidney,"Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or derivatives thereof, calculated in total as cycloxydim",2025-04-17,"[np.float64(0.5), np.float64(0.8), np.float64(0.9), np.float64(0.03)]",7
Kidney,Cyflumetofen,2025-07-06,"[np.float64(0.01), np.float64(0.02)]",7
Kidney,Cyfluthrin (cyfluthrin including other mixtures of constituent isomers),2023-08-16,"[np.float64(0.01), np.float64(0.02)]",7
Kidney,Cypermethrin (cypermethrin including other mixtures of constituent isomers),2017-04-27,"[np.float64(0.2), np.float64(0.05)]",14
Kidney,Cyproconazole,2018-02-06,"[np.float64(0.05), np.float64(0.5)]",7
Kidney,Cyprodinil  (R),2023-06-22,"[np.float64(0.05), np.float64(0.02)]",14
Kidney,Cyromazine,2023-08-12,"[np.float64(0.01), np.float64(0.3)]",7
Kidney,Deltamethrin (cis-deltamethrin),2025-07-06,"[np.float64(0.02), np.float64(0.03)]",7
Kidney,Diazinon,2013-04-27,"[np.float64(0.01), np.float64(0.03)]",14
Kidney,Dicamba,2015-06-24,"[np.float64(0.7), np.float64(0.07)]",7
Kidney,"Dichlorprop, its salts, esters and conjugates, expressed as dichlorprop)",2025-04-17,"[np.float64(0.7), np.float64(0.05), np.float64(0.1)]",7
Kidney,Dicofol,2013-04-26,"[np.float64(0.02), np.float64(0.05)]",14
Kidney,Difenoconazole,2024-10-28,"[np.float64(0.2), np.float64(0.1)]",7
Kidney,Difluoroacetic acid (DFA),2025-04-30,"[np.float64(0.3), np.float64(0.5), np.float64(0.02), np.float64(0.2)]",7
Kidney,Dinotefuran,2014-06-05,"[np.float64(0.1), np.float64(0.02)]",7
Kidney,"Emamectin B1a and its salts, expressed as emamectin B1a (free base) (R)",2024-06-11,"[np.float64(0.09), np.float64(0.01)]",14
Kidney,Ethephon,2017-10-20,"[np.float64(0.4), np.float64(0.08)]",7
Kidney,Etofenprox,2021-05-03,"[np.float64(0.05), np.float64(0.07), np.float64(0.01)]",7
Kidney,Famoxadone,2024-10-29,"[np.float64(0.5), np.float64(0.01)]",7
Kidney,Fenamiphos,2023-08-08,"[np.float64(0.02), np.float64(0.01)]",7
Kidney,Fenazaquin,2024-06-16,"[np.float64(0.02), np.float64(0.01)]",7
Kidney,Fenbuconazole,2025-08-24,"[np.float64(0.1), np.float64(0.05)]",7
Kidney,Fenoxaprop-P,2008-09-01,"[np.float64(0.1), np.float64(0.05)]",7
Kidney,Fenpicoxamid  (R),2023-06-22,"[np.float64(0.01), np.float64(0.02)]",14
Kidney,Fenpropidin (R),2014-08-14,"[np.float64(0.1), np.float64(0.02), np.float64(0.05)]",14
Kidney,Fenpropimorph (R),2023-10-21,"[np.float64(0.7), np.float64(0.01)]",14
Kidney,Fenpyroximate  (R) (F),2023-06-22,"[np.float64(0.8), np.float64(0.01)]",21
Kidney,"Fenvalerate (any ratio of constituent isomers (RR, SS, RS & SR) including esfenvalerate) (R)",2015-04-03,"[np.float64(0.05), np.float64(0.02)]",14
Kidney,Flonicamid,2024-10-28,"[np.float64(0.2), np.float64(0.1)]",7
Kidney,Fluazifop-P,2022-08-18,"[np.float64(0.07), np.float64(0.06), np.float64(0.01)]",7
Kidney,Flubendiamide,2022-05-14,"[np.float64(0.01), np.float64(1.0)]",7
Kidney,Flumequine,2017-04-26,"[np.float64(1.5), np.float64(1.0)]",7
Kidney,Fluopyram,2025-04-30,"[np.float64(0.15), np.float64(0.08), np.float64(0.02)]",7
Kidney,Fluoxastrobin,2019-01-01,"[np.float64(0.1), np.float64(0.05)]",7
Kidney,Flupyradifurone,2025-04-30,"[np.float64(1.0), np.float64(0.15), np.float64(0.01)]",7
Kidney,Fluroxypyr (R),2023-02-25,"[np.float64(0.06), np.float64(0.3), np.float64(0.01)]",14
Kidney,Flutolanil,2022-04-14,"[np.float64(0.5), np.float64(0.05)]",7
Kidney,Flutriafol,2024-10-29,"[np.float64(1.0), np.float64(0.03)]",7
Kidney,Fluvalinate resulting from the use of tau-fluvalinate,2022-02-14,"[np.float64(0.01), np.float64(0.015)]",7
Kidney,Fluxapyroxad,2025-02-11,"[np.float64(0.01), np.float64(0.1)]",7
Kidney,Fosetyl-Al,2022-08-18,"[np.float64(0.5), np.float64(6.0), np.float64(8.0)]",7
Kidney,"Glufosinatephosphinoyl]propionic acid (MPP) and N-acetyl-glufosinate (NAG), expressed as glufosinate)",2017-01-14,"[np.float64(3.0), np.float64(0.1)]",7
Kidney,Glyphosate,2013-04-06,"[np.float64(0.5), np.float64(0.05), np.float64(2.0), np.float64(0.1)]",14
Kidney,Imazalil (any ratio of constituent isomers),2020-07-09,"[np.float64(0.02), np.float64(0.01)]",7
Kidney,Imazapyr,2017-04-27,"[np.float64(0.2), np.float64(0.05)]",7
Kidney,Isopyrazam,2019-04-25,"[np.float64(0.02), np.float64(0.01)]",7
Kidney,Isoxaflutole,2023-06-22,"[np.float64(0.1), np.float64(0.2)]",7
Kidney,Lambda-cyhalothrin (includes gamma-cyhalothrin),2025-02-11,"[np.float64(0.2), np.float64(0.03)]",7
Kidney,Lufenuron (any ratio of constituent isomers),2020-07-09,"[np.float64(0.15), np.float64(0.02)]",7
Kidney,"MCPA and MCPB (MCPA, MCPB including their salts, esters and conjugates expressed as MCPA) (R)",2014-06-05,"[np.float64(3.0), np.float64(0.1)]",28
Kidney,Maleic hydrazide,2021-05-03,"[np.float64(1.5), np.float64(0.02), np.float64(2.0)]",7
Kidney,Mefentrifluconazole,2025-07-06,"[np.float64(0.3), np.float64(0.1), np.float64(0.01), np.float64(0.03), np.float64(0.15)]",7
Kidney,Mepiquat,2025-07-06,"[np.float64(0.8), np.float64(0.05), np.float64(0.07)]",7
Kidney,Metalaxyl and metalaxyl-M (metalaxyl including other mixtures of constituent isomers including metalaxyl-M),2025-02-11,"[np.float64(0.15), np.float64(0.4), np.float64(0.05)]",7
Kidney,Methoxyfenozide,2026-01-06,"[np.float64(0.2), np.float64(0.01)]",7
Kidney,Pendimethalin,2023-06-20,"[np.float64(0.05), np.float64(0.01)]",7
Kidney,Phorate,2013-04-26,"[np.float64(0.01), np.float64(0.02)]",14
Kidney,Phosphonic acid and its salts expressed as phosphonic acid,2025-04-29,"[np.float64(4.0), np.float64(7.0), np.float64(0.5)]",7
Kidney,Phoxim,2008-09-01,"[np.float64(0.02), np.float64(0.05), np.float64(0.03)]",7
Kidney,Picloram,2021-10-10,"[np.float64(5.0), np.float64(0.01)]",7
Kidney,"Picloram, free and conjugated, expressed as picloram",2025-07-23,"[np.float64(5.0), np.float64(0.01)]",7
Kidney,Pirimicarb,2016-08-16,"[np.float64(0.05), np.float64(0.01)]",7
Kidney,Propamocarb,2025-07-23,"[np.float64(0.05), np.float64(0.01), np.float64(0.02)]",7
Kidney,Prothioconazole: prothioconazole-desthio,2024-06-05,"[np.float64(0.5), np.float64(0.1)]",7
Kidney,Pyrasulfotole,2008-09-01,"[np.float64(0.2), np.float64(0.01)]",7
Kidney,Pyridate and hydrolysable conjugates of CL 9673 expressed as pyridate),2023-04-13,"[np.float64(0.05), np.float64(2.0), np.float64(0.3)]",7
Kidney,Pyrimethanil,2024-05-06,"[np.float64(0.05), np.float64(0.2), np.float64(0.1)]",7
Kidney,Quinmerac,2023-02-21,"[np.float64(0.05), np.float64(0.02)]",7
Kidney,"Quizalofop and its conjugates, expressed as quizalofop (any ratio of constituent isomers))",2023-09-14,"[np.float64(0.3), np.float64(0.04), np.float64(0.1)]",7
Kidney,Saflufenacil,2014-07-30,"[np.float64(0.3), np.float64(0.01)]",7
Kidney,"Spinosad (spinosad, sum of spinosyn A and spinosyn D)",2023-02-28,"[np.float64(0.5), np.float64(1.0), np.float64(0.02)]",7
Kidney,Spirodiclofen,2016-11-24,"[np.float64(0.05), np.float64(0.01)]",7
Kidney,"Spirotetramat and spirotetramat-enol, expressed as spirotetramat",2023-06-20,"[np.float64(0.7), np.float64(0.02)]",7
Kidney,Spiroxamine (R),2016-04-19,"[np.float64(0.15), np.float64(0.02)]",14
Kidney,Sulcotrione,2017-05-07,"[np.float64(0.01), np.float64(0.015)]",7
Kidney,Sulfoxaflor,2018-06-26,"[np.float64(0.6), np.float64(0.3)]",7
Kidney,Tebuconazole,2018-11-01,"[np.float64(0.2), np.float64(0.1)]",7
Kidney,Tefluthrin (tefluthrin including other mixtures of constituent isomers),2025-07-23,"[np.float64(0.01), np.float64(0.05)]",7
Kidney,"Tembotrione and its metabolite M5 (4,6-dihydroxy tembotrione), expressed as tembotrione)",2020-04-07,"[np.float64(0.02), np.float64(0.01), np.float64(0.015)]",7
Kidney,Tetraconazole,2023-09-26,"[np.float64(0.04), np.float64(0.05), np.float64(0.06), np.float64(0.01)]",7
Kidney,Thiabendazole,2024-12-11,"[np.float64(0.01), np.float64(0.1)]",7
Kidney,Triclopyr,2023-04-13,"[np.float64(0.08), np.float64(0.01)]",7
Kidney,Triflumuron,2024-06-11,"[np.float64(0.05), np.float64(0.01)]",7
Kidney,"Trimethyl-sulfonium cation, resulting from the use of glyphosate",2008-09-01,"[np.float64(0.05), np.float64(0.1), np.float64(0.2)]",14
"Kiwi fruits (green, red, yellow)",Bromide ion,2008-09-01,"[np.float64(50.0), np.float64(10.0)]",2
Kumquats,Bromide ion,2008-09-01,"[np.float64(20.0), np.float64(10.0)]",2
Lemons,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(30.0)]",2
Lentils,2-phenylphenol (R),2018-08-08,"[np.float64(0.01), np.float64(0.02)]",4
Lentils,8-hydroxyquinoline,2023-02-22,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,Acetamiprid,2025-08-20,"[np.float64(0.01), np.float64(0.15)]",2
Lentils,Aclonifen,2021-10-10,"[np.float64(0.02), np.float64(0.08)]",2
Lentils,Aminopyralid,2022-05-10,"[np.float64(0.05), np.float64(0.01)]",2
Lentils,Azadirachtin,2008-09-01,"[np.float64(1.0), np.float64(0.01)]",2
Lentils,Azoxystrobin,2025-07-23,"[np.float64(0.15), np.float64(3.0)]",2
Lentils,Beflubutamid,2014-07-06,"[np.float64(0.02), np.float64(0.01)]",2
Lentils,Benfluralin,2015-05-18,"[np.float64(0.02), np.float64(0.05)]",2
Lentils,"Bentazone and 8-hydroxy bentazone (free and conjugated), expressed as bentazone)",2021-11-02,"[np.float64(0.03), np.float64(0.05)]",2
Lentils,"Benthiavalicarb (Benthiavalicarb-isopropyl(KIF-230 R-L) and its enantiomer (KIF-230 S-D) and its diastereomers(KIF-230 S-L and KIF-230 R-D), expressed as benthiavalicarb-isopropyl)",2014-11-13,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,Benzovindiflupyr,2024-06-11,"[np.float64(0.2), np.float64(0.01)]",2
Lentils,Bifenthrin,2018-06-05,"[np.float64(0.3), np.float64(0.01)]",2
Lentils,Bixafen (R),2023-06-22,"[np.float64(0.01), np.float64(0.04)]",4
Lentils,Bromide ion,2008-09-01,"[np.float64(30.0), np.float64(50.0), np.float64(5.0)]",4
Lentils,Captan,2019-07-11,"[np.float64(0.03), np.float64(0.07)]",2
Lentils,Carbaryl,2015-05-07,"[np.float64(0.01), np.float64(0.05)]",4
Lentils,Carbofuran and 3-OH carbofuran expressed as carbofuran),2015-10-03,"[np.float64(0.005), np.float64(0.01)]",4
Lentils,Carfentrazone-ethyl,2021-05-17,"[np.float64(0.05), np.float64(0.02)]",2
Lentils,Chlorantraniliprole,2024-06-11,"[np.float64(0.01), np.float64(0.3)]",2
Lentils,Chloroxuron,2015-12-30,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,Cyantraniliprole,2025-07-06,"[np.float64(0.01), np.float64(0.6)]",2
Lentils,Cyazofamid,2020-07-09,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,"Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or derivatives thereof, calculated in total as cycloxydim",2025-04-17,"[np.float64(20.0), np.float64(15.0)]",2
Lentils,Cyhalofop-butyl,2023-02-25,"[np.float64(0.02), np.float64(0.01)]",2
Lentils,Cypermethrin (cypermethrin including other mixtures of constituent isomers),2017-04-27,"[np.float64(0.05), np.float64(0.7)]",4
Lentils,Cyproconazole,2018-02-06,"[np.float64(0.05), np.float64(0.08)]",2
Lentils,Cyprodinil  (R),2023-06-22,"[np.float64(2.0), np.float64(0.2)]",4
Lentils,Cyromazine,2023-08-12,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,DNOC,2015-12-30,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,Deltamethrin (cis-deltamethrin),2025-07-06,"[np.float64(0.2), np.float64(1.0)]",2
Lentils,Dicloran,2015-05-13,"[np.float64(0.02), np.float64(0.01)]",2
Lentils,Difenoconazole,2024-10-28,"[np.float64(0.06), np.float64(0.05)]",2
Lentils,Difluoroacetic acid (DFA),2025-04-30,"[np.float64(1.0), np.float64(3.0)]",2
Lentils,"Dinocap (Where only meptyldinocap or its corresponding phenol are detected but none of the other components constituting dinocap (including their corresponding phenols), the MRLs and residue definition of meptyldinocap are to be applied.)",2015-05-13,"[np.float64(0.05), np.float64(0.02)]",2
Lentils,Diquat,2017-01-14,"[np.float64(0.01), np.float64(0.2)]",2
Lentils,"Emamectin B1a and its salts, expressed as emamectin B1a (free base) (R)",2024-06-11,"[np.float64(0.002), np.float64(0.005)]",4
Lentils,Fenamiphos,2023-08-08,"[np.float64(0.02), np.float64(0.01)]",2
Lentils,Flonicamid,2024-10-28,"[np.float64(0.03), np.float64(0.8)]",2
Lentils,Fluazifop-P,2022-08-18,"[np.float64(0.01), np.float64(4.0)]",2
Lentils,Fluazinam,2018-02-06,"[np.float64(0.02), np.float64(0.01)]",2
Lentils,Flubendiamide,2022-05-14,"[np.float64(1.0), np.float64(2.0)]",2
Lentils,Fludioxonil  (R),2022-08-10,"[np.float64(0.05), np.float64(0.4)]",4
Lentils,Fluometuron,2021-01-06,"[np.float64(0.01), np.float64(0.005)]",2
Lentils,Fluopyram,2025-04-30,"[np.float64(0.15), np.float64(0.5)]",2
Lentils,Fluoride ion,2023-02-21,"[np.float64(0.2), np.float64(2.0)]",2
Lentils,Flupyradifurone,2025-04-30,"[np.float64(0.4), np.float64(3.0)]",2
Lentils,Flurprimidole,2015-12-07,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,Fluxapyroxad,2025-02-11,"[np.float64(0.01), np.float64(0.4)]",2
Lentils,Folpet,2023-06-19,"[np.float64(0.07), np.float64(0.03)]",2
Lentils,Forchlorfenuron,2014-11-13,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,"Glufosinatephosphinoyl]propionic acid (MPP) and N-acetyl-glufosinate (NAG), expressed as glufosinate)",2017-01-14,"[np.float64(0.1), np.float64(0.03)]",2
Lentils,Glyphosate,2013-04-06,"[np.float64(0.1), np.float64(10.0)]",4
Lentils,Imazamox,2022-01-03,"[np.float64(0.2), np.float64(0.05)]",2
Lentils,Isofetamid,2024-05-06,"[np.float64(0.09), np.float64(0.01)]",2
Lentils,Lambda-cyhalothrin (includes gamma-cyhalothrin),2025-02-11,"[np.float64(0.05), np.float64(0.2)]",2
Lentils,Mefentrifluconazole,2025-07-06,"[np.float64(1.5), np.float64(0.01)]",2
Lentils,Metaldehyde,2023-09-27,"[np.float64(0.2), np.float64(0.05)]",2
Lentils,Metconazole,2016-11-24,"[np.float64(0.02), np.float64(0.15)]",2
Lentils,Methoprene,2013-04-26,"[np.float64(0.02), np.float64(0.05)]",2
Lentils,Oxamyl,2024-05-11,"[np.float64(0.01), np.float64(0.001)]",2
Lentils,Pendimethalin,2023-06-20,"[np.float64(0.15), np.float64(0.05)]",2
Lentils,Penthiopyrad,2023-08-16,"[np.float64(0.3), np.float64(0.01)]",2
Lentils,Phenothrin (phenothrin including other mixtures of constituent isomers),2015-12-30,"[np.float64(0.05), np.float64(0.02)]",2
Lentils,Phosphonic acid and its salts expressed as phosphonic acid,2025-04-29,"[np.float64(1.5), np.float64(3.0)]",2
Lentils,Picolinafen,2019-11-18,"[np.float64(0.01), np.float64(0.05)]",2
Lentils,Pirimicarb,2016-08-16,"[np.float64(0.2), np.float64(0.7)]",2
Lentils,Prohexadione (prohexadione (acid) and its salts expressed as prohexadione-calcium),2021-07-08,"[np.float64(0.02), np.float64(0.01)]",2
Lentils,Prothioconazole: prothioconazole-desthio,2024-06-05,"[np.float64(1.0), np.float64(0.01)]",2
Lentils,Pymetrozine,2021-09-02,"[np.float64(0.05), np.float64(0.02)]",2
Lentils,Pyraclostrobin,2024-02-12,"[np.float64(0.5), np.float64(0.02)]",2
Lentils,Pyrethrins,2008-09-01,"[np.float64(3.0), np.float64(1.0)]",2
Lentils,Pyrimethanil,2024-05-06,"[np.float64(0.01), np.float64(0.5)]",2
Lentils,Quinoclamine,2015-01-16,"[np.float64(0.02), np.float64(0.01)]",2
Lentils,Resmethrin (resmethrin including other mixtures of consituent isomers),2015-12-30,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,"Spinosad (spinosad, sum of spinosyn A and spinosyn D)",2023-02-28,"[np.float64(0.3), np.float64(0.02)]",2
Lentils,"Spirotetramat and spirotetramat-enol, expressed as spirotetramat",2023-06-20,"[np.float64(1.5), np.float64(2.0)]",2
Lentils,Sulcotrione,2017-05-07,"[np.float64(0.01), np.float64(0.02)]",2
Lentils,Sulfosulfuron,2015-01-02,"[np.float64(0.02), np.float64(0.01)]",4
Lentils,Tebuconazole,2018-11-01,"[np.float64(0.02), np.float64(0.2)]",2
Lentils,Tolylfluanid (R),2017-04-26,"[np.float64(0.05), np.float64(0.02)]",4
Lentils,Topramezone (BAS 670H),2023-08-12,"[np.float64(0.005), np.float64(0.01)]",2
Lentils,Triazoxide,2024-05-06,"[np.float64(0.001), np.float64(0.003)]",2
Lentils,Trifloxystrobin  (R),2019-11-18,"[np.float64(0.01), np.float64(0.2)]",4
Lentils,Trifloxystrobin (R),2024-12-11,"[np.float64(0.2), np.float64(0.01)]",4
Lentils,"Trinexapac and its salts, expressed as trinexapac)",2017-07-11,"[np.float64(0.02), np.float64(0.01)]",2
Limes,Bromide ion,2008-09-01,"[np.float64(30.0), np.float64(5.0)]",2
Linseeds,Bromide ion,2008-09-01,"[np.float64(5.0), np.float64(20.0)]",2
Liquorice,Bromide ion,2008-09-01,"[np.float64(400.0), np.float64(50.0)]",2
Liquorice,Dichlorvos,2008-09-01,"[np.float64(0.02), np.float64(0.1)]",4
Liquorice,Parathion,2008-09-01,"[np.float64(0.1), np.float64(0.2)]",4
Litchis/lychees,Bromide ion,2008-09-01,"[np.float64(10.0), np.float64(50.0)]",2
Liver,"1,4-dimethylnaphthalene (R)",2025-04-30,"[np.float64(3.0), np.float64(2.0), np.float64(1.5)]",14
Liver,"2,4-D",2023-02-25,"[np.float64(5.0), np.float64(0.05)]",7
Liver,Abamectin (R),2023-08-20,"[np.float64(0.025), np.float64(0.02), np.float64(0.01)]",14
Liver,Acetamiprid,2025-08-20,"[np.float64(1.0), np.float64(0.1), np.float64(0.03)]",7
Liver,Ametoctradin (R),2022-08-14,"[np.float64(0.03), np.float64(0.04)]",14
Liver,Amidosulfuron  (R),2025-07-23,"[np.float64(0.02), np.float64(0.04)]",14
Liver,"Amitraz (amitraz including the metabolites containing the 2,4 -dimethylaniline moiety expressed as amitraz)",2017-04-26,"[np.float64(0.1), np.float64(0.05), np.float64(0.2)]",7
Liver,Azoxystrobin,2025-07-23,"[np.float64(0.07), np.float64(0.01)]",7
Liver,"Bentazone and 8-hydroxy bentazone (free and conjugated), expressed as bentazone)",2021-11-02,"[np.float64(0.05), np.float64(0.02), np.float64(0.03), np.float64(0.04)]",7
Liver,Benzovindiflupyr,2024-06-11,"[np.float64(0.1), np.float64(0.01)]",7
Liver,"Bicyclopyrone-6-(trifluoromethyl) pyridine-3-carboxylic acid (SYN503780) and (2-(2-hydroxyethoxymethyl)-6- (trifluoromethyl)pyridine-3-carboxylic acid (CSCD686480), expressed as bicyclopyrone)",2019-04-25,"[np.float64(0.02), np.float64(0.01)]",7
Liver,Bifenthrin,2018-06-05,"[np.float64(0.2), np.float64(0.01)]",7
Liver,Bixafen (R),2023-06-22,"[np.float64(4.0), np.float64(0.05)]",14
Liver,Boscalid  (R),2022-08-18,"[np.float64(0.2), np.float64(0.15), np.float64(0.05)]",14
Liver,Captan,2019-07-11,"[np.float64(0.09), np.float64(0.03)]",7
Liver,Chlorantraniliprole,2024-06-11,"[np.float64(0.2), np.float64(0.07)]",7
Liver,Chlormequat,2022-08-14,"[np.float64(1.5), np.float64(0.15)]",7
Liver,Chlorotoluron,2014-08-25,"[np.float64(0.01), np.float64(0.05)]",7
Liver,Clethodim,2008-09-01,"[np.float64(0.05), np.float64(0.2)]",14
Liver,Clofentezine,2015-06-25,"[np.float64(0.1), np.float64(0.05)]",14
Liver,Clopyralid,2024-10-28,"[np.float64(0.2), np.float64(0.05), np.float64(0.15)]",7
Liver,Cyantraniliprole,2025-07-06,"[np.float64(1.5), np.float64(0.15)]",7
Liver,"Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or derivatives thereof, calculated in total as cycloxydim",2025-04-17,"[np.float64(0.5), np.float64(0.03)]",7
Liver,Cyflumetofen,2025-07-06,"[np.float64(0.01), np.float64(0.02)]",7
Liver,Cyfluthrin (cyfluthrin including other mixtures of constituent isomers),2023-08-16,"[np.float64(0.01), np.float64(0.02)]",7
Liver,Cypermethrin (cypermethrin including other mixtures of constituent isomers),2017-04-27,"[np.float64(0.2), np.float64(0.05)]",14
Liver,Cyproconazole,2018-02-06,"[np.float64(0.5), np.float64(0.05)]",7
Liver,Cyprodinil  (R),2023-06-22,"[np.float64(0.05), np.float64(0.02)]",14
Liver,Cyromazine,2023-08-12,"[np.float64(0.05), np.float64(0.3)]",7
Liver,Deltamethrin (cis-deltamethrin),2025-07-06,"[np.float64(0.03), np.float64(0.02)]",7
Liver,Diazinon,2013-04-27,"[np.float64(0.03), np.float64(0.01)]",14
Liver,Dicamba,2015-06-24,"[np.float64(0.7), np.float64(0.07)]",7
